userId,messageId,originalTimestamp,anonymousId,category,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,button_name,search_text,event_type
,ajs-next-1779409924350-fbfb072c-3dc1-4282-ad5d-2c6466e8575f,2026-05-22 00:32:04.350000+00:00,fb072c3d-c102-422d-9d2c-6466e8575fb2,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
,ajs-next-1779413952000-dd02d8bd-90cb-4b53-8a12-8ceec4b3fd3c,2026-05-22 01:39:12+00:00,02d8bd90-cb1b-430a-928c-eec4b3fd3c77,index,index,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1779413952579-cb1b530a-128c-4ec4-b3fd-3c77e1287431,2026-05-22 01:39:12.579000+00:00,02d8bd90-cb1b-430a-928c-eec4b3fd3c77,,,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1770943484557x164806709481949200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500",true,,,,impression
,ajs-next-1779413952006-bd90cb1b-530a-428c-aec4-b3fd3c77e128,2026-05-22 01:39:12.006000+00:00,02d8bd90-cb1b-430a-928c-eec4b3fd3c77,,,Mozilla/5.0 (compatible; Dataprovider.com),/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,,,"1770943484557x164806709481949200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500",true,,,,impression
,ajs-next-1779427235040-0504f4a3-442d-4da7-858c-8c45c6da4e82,2026-05-22 05:20:35.040000+00:00,293a6869-f15a-464d-bf2e-cc93410c0116,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,profile,business_profile,1753982403438x535213824960417500,,,,,page
,ajs-next-1779427230059-f6293a68-69f1-4ae6-8d3f-2ecc93410c01,2026-05-22 05:20:30.059000+00:00,293a6869-f15a-464d-bf2e-cc93410c0116,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,1753374338412x209529915103450200,,,,,page
,ajs-next-1779440042038-46029885-e28e-415c-960b-d14ea43b4754,2026-05-22 08:54:02.034000+00:00,029885e2-8e61-4c96-8bd1-4ea43b475467,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
,ajs-next-1779467684504-09ea4e3e-ebf8-47e7-95ac-9d6d3f2a014b,2026-05-22 16:34:44.504000+00:00,fe6409ea-4e3e-4bf8-97e7-15ac9d6d3f2a,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,,,,,,,,"1744579851707x640487742075829500, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1779469073594-b4bc7e76-5394-4ec1-93d2-f9f2a810b5b5,2026-05-22 16:57:53.594000+00:00,e871b4bc-7e76-4394-bec1-13d2f9f2a810,,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,,,,,,,,"1752717497153x537286585580736960, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1779467478361-19c7f6b8-972c-49cf-ad44-2dcfac025881,2026-05-22 16:31:18.361000+00:00,b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,,,,,,,,"1744335958024x226211831616957250, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1752717497153x537286585580736960",true,,,,impression
,ajs-next-1779467684506-4e3eebf8-97e7-45ac-9d6d-3f2a014be1e3,2026-05-22 16:34:44.506000+00:00,fe6409ea-4e3e-4bf8-97e7-15ac9d6d3f2a,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,,,,,,,,"1744579851707x640487742075829500, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1779467478051-0cb68cb3-d419-47f6-b897-2ce9cf2d442d,2026-05-22 16:31:18.051000+00:00,b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,index,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1779467690619-f5bc2b94-272b-42bd-9948-1f358c870ead,2026-05-22 16:34:50.619000+00:00,fe6409ea-4e3e-4bf8-97e7-15ac9d6d3f2a,about_us,about_us,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/about_us/1779467683191x587297193999882100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779467683191x587297193999882100,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,/about_us/1779467683191x587297193999882100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779467683191x587297193999882100,about_us,about_us,,,,,,page
,ajs-next-1779469079201-26b7e3a8-50dc-4191-8b42-686ef389356a,2026-05-22 16:57:59.200000+00:00,e871b4bc-7e76-4394-bec1-13d2f9f2a810,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,profile,business_profile,1770943484557x164806709481949200,,,,,page
,ajs-next-1779467478054-b3d419c7-f6b8-472c-a9cf-2d442dcfac02,2026-05-22 16:31:18.054000+00:00,b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,,,,,,,,"1744335958024x226211831616957250, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1752717497153x537286585580736960",true,,,,impression
,ajs-next-1779467684171-b7fe6409-ea4e-4eeb-b897-e715ac9d6d3f,2026-05-22 16:34:44.171000+00:00,fe6409ea-4e3e-4bf8-97e7-15ac9d6d3f2a,index,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1779469073589-b3e871b4-bc7e-4653-94be-c113d2f9f2a8,2026-05-22 16:57:53.589000+00:00,e871b4bc-7e76-4394-bec1-13d2f9f2a810,index,index,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1779469074947-e0612149-f56d-4eb2-9ca7-714b815173f5,2026-05-22 16:57:54.947000+00:00,e871b4bc-7e76-4394-bec1-13d2f9f2a810,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,profile,business_profile,1752717497153x537286585580736960,,,,,page
,ajs-next-1779469085141-9f4ff49d-82c8-4375-8d15-803494970f42,2026-05-22 16:58:05.140000+00:00,e871b4bc-7e76-4394-bec1-13d2f9f2a810,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,1771436045389x658317953644361100,,,,,page
,ajs-next-1779469094720-86f63928-ed2f-474c-9ee7-8cba1c10f0e6,2026-05-22 16:58:14.720000+00:00,e871b4bc-7e76-4394-bec1-13d2f9f2a810,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
,ajs-next-1779473583170-777a7c1e-003a-41c4-bc7a-22c30602735a,2026-05-22 18:13:03.170000+00:00,9dd8ff7e-5424-4c08-bfd6-c84c7f849de7,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,profile,business_profile,1744335958024x226211831616957250,,,,,page
,ajs-next-1779473576140-1d9dd8ff-7e54-44ec-88ff-d6c84c7f849d,2026-05-22 18:12:56.140000+00:00,9dd8ff7e-5424-4c08-bfd6-c84c7f849de7,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/solomons-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomons-toolbox-1750436264420x989591292213482400,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/solomons-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomons-toolbox-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,,,,page
,ajs-next-1779479111139-0384568c-a38d-4d40-b48f-5ce2bb2e4901,2026-05-22 19:45:11.139000+00:00,03230384-568c-438d-ad40-b48f5ce2bb2e,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,,,,,,,,"1753982403438x535213824960417500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1779479139417-e5c63e3a-91ee-474e-b3ac-17e22da5e162,2026-05-22 19:45:39.417000+00:00,03230384-568c-438d-ad40-b48f5ce2bb2e,index,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1779479110949-b3032303-8456-4ca3-8d2d-40b48f5ce2bb,2026-05-22 19:45:10.949000+00:00,03230384-568c-438d-ad40-b48f5ce2bb2e,index,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1779479139911-3e3a91ee-074e-43ac-97e2-2da5e16208f3,2026-05-22 19:45:39.911000+00:00,03230384-568c-438d-ad40-b48f5ce2bb2e,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,,,,,,,,"1750436264420x989591292213482400, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1779479111253-568ca38d-2d40-448f-9ce2-bb2e49016d20,2026-05-22 19:45:11.253000+00:00,03230384-568c-438d-ad40-b48f5ce2bb2e,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,,,,,,,,"1753982403438x535213824960417500, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1779479125171-28f22ecb-0896-4953-9add-adaff83959c8,2026-05-22 19:45:25.171000+00:00,03230384-568c-438d-ad40-b48f5ce2bb2e,about_us,about_us,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/about_us/1779479108421x504293874892539200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779479108421x504293874892539200,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Windows,/about_us/1779479108421x504293874892539200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779479108421x504293874892539200,about_us,about_us,,,,,,page
,ajs-next-1779482127726-dc4b5fcc-7af0-4dc1-aa79-4ef3200bad77,2026-05-22 20:35:27.726000+00:00,2eb0a763-8935-4121-bcc9-dac3c042fadd,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,,,,,,,,,true,sidebar,,,impression
,ajs-next-1779482077263-72726465-b488-4dc8-a3b7-12843a7d692d,2026-05-22 20:34:37.263000+00:00,2eb0a763-8935-4121-bcc9-dac3c042fadd,about_us,about_us,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/about_us/1779482049267x145129277905950530,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779482049267x145129277905950530,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,/about_us/1779482049267x145129277905950530,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779482049267x145129277905950530,about_us,about_us,,,,,,page
,ajs-next-1779482059757-a7638935-9121-4cc9-9ac3-c042fadd2b41,2026-05-22 20:34:19.757000+00:00,2eb0a763-8935-4121-bcc9-dac3c042fadd,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,,,,,,,,"1744335958024x226211831616957250, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1753982403438x535213824960417500, 1752717497153x537286585580736960",true,,,,impression
,ajs-next-1779482108813-7ded12b6-79bd-46c1-b984-950f72ce9c85,2026-05-22 20:35:08.813000+00:00,2eb0a763-8935-4121-bcc9-dac3c042fadd,profile,business_profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/business_profile/hallowed-mama-doula-1747185390251x665604546429507900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hallowed-mama-doula-1747185390251x665604546429507900,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,/business_profile/hallowed-mama-doula-1747185390251x665604546429507900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/hallowed-mama-doula-1747185390251x665604546429507900,profile,business_profile,1747185390251x665604546429507900,,,,,page
,ajs-next-1779482127424-1025dc4b-5fcc-4af0-9dc1-ea794ef3200b,2026-05-22 20:35:27.424000+00:00,2eb0a763-8935-4121-bcc9-dac3c042fadd,search,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,page
